# 296 K, Fig. 1C https://doi.org/10.1039/C2EE22858K
P(mmHg),N(cm3STP/cm3)
803.588841417,122.434782609
782.749434531,121.391304348
758.441819553,120.347826087
734.073887912,117.217391304
706.29806484,116.173913043
688.896707716,114.086956522
661.090726313,112
640.221161096,109.913043478
591.545614476,105.739130435
570.676049259,103.652173913
542.839909525,100.52173913
521.940185976,97.3913043478
501.040462428,94.2608695652
476.702689118,92.1739130435
452.304599146,88
448.836391053,88
427.936667504,84.8695652174
403.568735863,81.7391304348
382.669012315,78.6086956522
333.842674039,69.2173913043
358.270922342,74.4347826087
312.912792159,65.0434782609
288.544860518,61.9130434783
239.748680573,53.5652173913
264.116612214,56.6956521739
218.788640362,48.347826087
190.922342297,44.1739130435
169.962302086,38.9565217391
145.564212114,34.7826086957
124.604171902,29.5652173913
142.096004021,34.7826086957
96.7378738376,25.3913043478
72.3096255341,20.1739130435
54.8177934154,14.9565217391
26.8911786881,8.69565217391
615.853229455,106.782608696
